Frame, Frame Full, Scene
792, 0.016616, 0.000112
793, 0.016711, 0.000104
794, 0.016754, 0.000118
795, 0.016671, 0.000109
796, 0.016698, 9.9e-05
797, 0.016671, 0.00011
798, 0.016854, 0.000104
799, 0.016699, 9.9e-05
800, 0.016633, 0.000105
801, 0.016611, 9.9e-05
802, 0.016699, 9.8e-05
803, 0.016831, 0.000106
804, 0.016707, 9.9e-05
805, 0.016495, 0.000109
806, 0.016608, 0.000122
807, 0.016735, 9.6e-05
808, 0.016685, 0.000106
809, 0.017017, 0.000114
810, 0.016432, 0.000101
811, 0.0168, 0.000104
812, 0.016952, 0.000101
813, 0.016831, 0.000129
814, 0.016175, 0.000103
815, 0.01675, 9.8e-05
816, 0.016701, 0.000138
817, 0.016606, 0.000111
818, 0.016734, 9.8e-05
819, 0.017374, 0.000142
820, 0.016063, 0.000123
821, 0.017067, 0.000102
822, 0.016339, 0.000105
823, 0.016814, 9.7e-05
824, 0.016463, 0.000104
825, 0.016898, 0.000109
826, 0.016309, 9.9e-05
827, 0.016672, 0.000107
828, 0.016822, 0.000108
829, 0.016607, 0.000106
830, 0.016902, 0.000125
831, 0.016269, 0.000106
832, 0.016835, 9.5e-05
833, 0.016923, 0.000109
834, 0.016466, 0.000119
835, 0.016851, 9.8e-05
836, 0.016856, 0.000106
837, 0.01637, 0.0001
838, 0.016957, 0.000103
839, 0.01648, 0.000127
840, 0.017337, 0.000107
841, 0.015966, 0.000122
842, 0.016645, 0.000125
843, 0.016721, 9.8e-05
844, 0.016856, 0.000123
845, 0.016529, 0.0001
846, 0.017337, 0.000119
847, 0.016142, 0.000208
848, 0.016604, 0.000151
849, 0.016932, 0.000143
850, 0.016452, 0.000108
851, 0.017012, 9.8e-05
852, 0.016552, 0.000106
853, 0.016485, 0.000105
854, 0.016821, 9.6e-05
855, 0.017142, 0.000111
856, 0.016286, 9.7e-05
857, 0.016516, 9.8e-05
858, 0.016978, 0.000108
859, 0.016497, 9.5e-05
860, 0.017006, 0.000179
861, 0.016268, 0.000108
862, 0.017106, 9.9e-05
863, 0.016287, 0.000112
864, 0.017052, 0.000107
865, 0.01635, 9.9e-05
866, 0.016768, 0.000105
867, 0.016679, 9.7e-05
868, 0.016887, 9.6e-05
869, 0.016488, 0.000107
870, 0.01674, 9.8e-05
871, 0.016463, 0.000107
872, 0.016738, 0.000108
873, 0.017029, 0.000102
874, 0.017244, 0.000161
875, 0.016435, 0.000117
876, 0.017041, 0.000118
877, 0.016014, 0.00013
878, 0.017662, 9.7e-05
879, 0.01588, 9.7e-05
880, 0.016847, 0.000134
881, 0.016359, 0.0001
882, 0.016922, 0.000124
883, 0.016897, 0.00012
884, 0.016113, 9.9e-05
885, 0.016637, 0.000111
886, 0.016748, 0.0001
887, 0.016569, 9.8e-05
888, 0.017052, 0.000108
889, 0.016522, 0.00022
890, 0.01692, 0.000101
891, 0.016151, 0.000107
892, 0.016977, 0.0001
893, 0.016324, 0.000156
894, 0.016712, 0.000104
895, 0.01694, 0.0001
896, 0.017389, 0.000106
897, 0.015868, 0.000108
898, 0.016881, 9.8e-05
899, 0.016605, 0.000177
900, 0.017036, 9.9e-05
901, 0.016388, 0.000119
902, 0.016554, 0.000107
903, 0.01681, 9.8e-05
904, 0.016697, 0.000107
905, 0.016326, 0.00011
906, 0.01705, 9.7e-05
907, 0.016602, 0.000135
908, 0.016527, 0.000104
909, 0.016606, 0.000101
910, 0.017019, 0.000161
911, 0.016483, 9.6e-05
912, 0.016891, 9.8e-05
